ALFA;2004-01-01;A;ALFA;ALFA;ALFA;Centraal Alfa
DREN;2004-01-01;A;ALFA;DREN;DREN;Drenthe
EMMN;2004-01-01;A;ALFA;EMMN;EMMN;.., Emmen
GRAM;2004-01-01;A;ALFA;GRAM;GRAM;Gramsbergerweg, Hardenberg
GRON;2004-01-01;A;ALFA;GRON;GRON;Groningen
HGVN;2004-01-01;A;ALFA;HGVN;HGVN;Voltastraat, Hoogeveen
HORA;2004-01-01;A;ALFA;HORA;HORA;Hora siccamasingel, Groningen
KLUI;2004-01-01;A;ALFA;KLUI;KLUI;Kluiverboom 3, Groningen
LEEK;2004-01-01;A;ALFA;LEEK;LEEK;De Bocht, Leek
MARS;2004-01-01;A;ALFA;MARS;MARS;Marslaan, Hardenberg
RUYT;2004-01-01;A;ALFA;RUYT;RUYT;Admiraal de Ruyterlaan, Groningen
TRAV;2004-01-01;A;ALFA;TRAV6;TRAV6;Travertijnstraat 6, Groningen
TRAV12;2004-01-01;A;ALFA;TRAV12;TRAV12;Travertijnstraat 12, Groningen
VDAM;2004-01-01;A;ALFA;VDAM;VDAM;Oldenoert, Veendam
VECH;2004-01-01;A;ALFA;VECH;VECH;De Vechtstraat, Groningen
